"model_name","id","AIC","horizon","pred","actual"
"2i",1,30.58080984585,20,0.00251511927324333,0
"2ni",1,17.8783296607447,20,4.65709571429738e-06,0
"3i",1,43.6786349837577,20,-0.0127216880502932,0
"3ni",1,21.828762617689,20,-0.00120535317578541,0
"4i",1,59.6881117729247,20,-0.0472157010303316,0
"4ni",1,27.9742421006438,20,-0.000318652885339917,0
"9ni",1,67.2242561549955,20,-0.00528299508345916,0
"2i",1,-74.1963947689331,40,3.70432509620588e-05,0
"2ni",1,-78.1892816985543,40,0.00015391112454599,0
"3i",1,-66.2228342385582,40,0.000250069939439847,0
"3ni",1,-89.8344283510647,40,-5.76767405360086e-06,0
"4i",1,-44.3552725862564,40,-0.000101253351438587,0
"4ni",1,-85.0300777172623,40,0.000130865576908234,0
"9ni",1,15.9465391997356,40,0.00123993643604177,0
"2i",1,-155.403448895125,60,-0.000228581205395431,0
"2ni",1,-159.276484298813,60,2.3675398997322e-05,0
"3i",1,-149.43924796915,60,0.00897607732828331,0
"3ni",1,-165.746506588738,60,3.13180337935239e-06,0
"4i",1,-141.157553837638,60,-5.01114198835805e-05,0
"4ni",1,-169.905961445569,60,0.00940128078815281,0
"9ni",1,-59.7244372457668,60,0.00313300519661551,0
"2i",1,-298.901577880238,80,7.98576980761295e-05,0
"2ni",1,-302.501890132632,80,8.64362279085964e-05,0
"3i",1,-259.303413220134,80,-7.02644090706805e-06,0
"3ni",1,-271.959481567503,80,1.50797146087293e-05,0
"4i",1,-297.172173997347,80,0.00266418988901564,0
"4ni",1,-313.810507461625,80,-0.00232843757554261,0
"9ni",1,-183.910556623985,80,0.000384962821549185,0
"2i",2,-288.682282843038,20,-0.00220159969768528,0
"2ni",2,-324.513466421688,20,4.65060782199616e-05,0
"3i",2,-307.93945708245,20,-0.01223527387748,0
"3ni",2,-312.660726609286,20,-0.00170278033005315,0
"4i",2,-330.111862243503,20,0.00278799483880914,0
"4ni",2,-352.833510525585,20,-0.00218821920043819,0
"9ni",2,-290.179805294242,20,-0.0436499461965047,0
"2i",2,-679.229088779356,40,0.000534540652381317,0
"2ni",2,-640.630844140049,40,0.00337667603642527,0
"3i",2,-478.767527071221,40,8.88699235076121e-05,0
"3ni",2,-683.545606334141,40,0.00126714962763855,0
"4i",2,-430.057560048881,40,0.000134473055128956,0
"4ni",2,-490.514550084366,40,0.000144052578677564,0
"9ni",2,-614.208807546691,40,0.00290559095553249,0
"2i",2,-1118.93959596115,60,-0.0016284890823846,0
"2ni",2,-1065.70501822692,60,-0.00094408105867902,0
"3i",2,-878.860758275441,60,-0.000328280103167787,0
"3ni",2,-1132.30648103099,60,0.00548944367992706,0
"4i",2,-822.759323866702,60,-0.000301549321660492,0
"4ni",2,-1131.24032710226,60,-0.00520847594580707,0
"9ni",2,-1035.47573938235,60,0.00315764678777389,0
"2i",2,-1455.7465178098,80,0.000690442709298913,0
"2ni",2,-1458.64812902179,80,0.00426918311256652,0
"3i",2,-1470.55129491396,80,-0.00598146895827139,0
"3ni",2,-1480.43562974844,80,-0.00278399611550463,0
"4i",2,-1461.11839049353,80,-0.000795003080201851,0
"4ni",2,-1394.93003610737,80,0.00227803213668675,0
"9ni",2,-1383.85779588783,80,0.0149348760122199,0
"2i",3,-243.916309361429,20,3.05311331771918e-15,0
"2ni",3,109.843038712903,20,4.33958424750358e-14,0
"3i",3,151.274341762537,20,3.51542202001176e-07,0
"3ni",3,141.150075970253,20,2.32301347130592e-07,0
"4i",3,192.991893484639,20,8.46578347701854e-08,0
"4ni",3,170.809352713432,20,2.36182325780154e-07,0
"9ni",3,165.512799449653,20,2.3244228930519e-08,0
"2i",3,30.7590733685423,40,9.10799213826863e-13,0
"2ni",3,29.6223820079767,40,1.05374235725986e-08,0
"3i",3,78.7830113534716,40,4.06780568285026e-07,0
"3ni",3,53.7577925112308,40,-8.25451727803905e-09,0
"4i",3,126.306889649811,40,9.74809403198051e-07,0
"4ni",3,104.177554628875,40,2.69770147887094e-07,0
