"model_name","id","AIC","horizon","pred","actual"
"2i",1,-123.989397818643,40,0.0232316720882194,0
"2ni",1,-118.936171021947,40,-0.0016243267636904,0
"3i",1,-117.358291742871,40,0.00799044960553935,0
"3ni",1,-111.028496722962,40,-0.00632046521372744,0
"4i",1,-112.690467864372,40,0.0652980118399419,0
"4ni",1,-120.780148692398,40,0.0345864531646099,0
"9ni",1,-54.1085843882551,40,-0.0477398451884225,0
"2i",1,-210.895595502693,60,0.0697108232698146,0
"2ni",1,-205.360478651411,60,0.085071870579931,0
"3i",1,-219.554957049973,60,0.0726520295483015,0
"3ni",1,-215.620972467065,60,0.0615602489602815,0
"4i",1,-196.08926005832,60,0.920571785689527,0
"4ni",1,-208.016703841832,60,0.561331222795221,0
"9ni",1,-145.685411858253,60,0.546471680067089,0
"2i",1,-234.295485128447,80,0.0579675621342726,0
"2ni",1,-235.914305575929,80,0.0625936404457109,0
"3i",1,-266.067067433433,80,0.0535664598773391,0
"3ni",1,-245.849651101121,80,0.111671777621988,0
"4i",1,-267.648906843383,80,0.113207651202897,0
"4ni",1,-275.585644400856,80,0.0832350292780279,0
"9ni",1,-185.120845246946,80,0.0703884002317486,0
"2i",2,-74.1963947689331,40,3.70432509620588e-05,0
"2ni",2,-78.1892816985543,40,0.00015391112454599,0
"3i",2,-66.2228342385582,40,0.000250069939439847,0
"3ni",2,-89.8344283510647,40,-5.76767405360086e-06,0
"4i",2,-44.3552725862564,40,-0.000101253351438587,0
"4ni",2,-85.0300777172623,40,0.000130865576908234,0
"9ni",2,15.9465391997356,40,0.00123993643604177,0
"2i",2,-155.403448895125,60,-0.000228581205395431,0
"2ni",2,-159.276484298813,60,2.3675398997322e-05,0
"3i",2,-149.43924796915,60,0.00897607732828331,0
"3ni",2,-165.746506588738,60,3.13180337935239e-06,0
"4i",2,-141.157553837638,60,-5.01114198835805e-05,0
"4ni",2,-169.905961445569,60,0.00940128078815281,0
"9ni",2,-59.7244372457668,60,0.00313300519661551,0
"2i",2,-298.901577880238,80,7.98576980761295e-05,0
"2ni",2,-302.501890132632,80,8.64362279085964e-05,0
"3i",2,-259.303413220134,80,-7.02644090706805e-06,0
"3ni",2,-271.959481567503,80,1.50797146087293e-05,0
"4i",2,-297.172173997347,80,0.00266418988901564,0
"4ni",2,-313.810507461625,80,-0.00232843757554261,0
"9ni",2,-183.910556623985,80,0.000384962821549185,0
